total_degree,student_count
146.5,156
147.0,222
147.5,182
148.0,202
148.5,198
149.0,223
149.5,200
150.0,237
150.5,187
151.0,247
151.5,225
152.0,248
152.5,204
153.0,231
153.5,205
154.0,265
154.5,232
155.0,250
155.5,221
156.0,285
156.5,247
157.0,294
157.5,265
158.0,282
158.5,278
159.0,284
159.5,298
160.0,350
160.5,268
161.0,331
161.5,319
162.0,382
162.5,317
163.0,367
163.5,329
164.0,424
164.5,342
165.0,437
165.5,404
166.0,428
166.5,333
167.0,475
167.5,400
168.0,453
168.5,396
169.0,422
169.5,371
170.0,456
170.5,374
171.0,453
171.5,387
172.0,455
172.5,405
173.0,504
173.5,424
174.0,531
174.5,396
175.0,626
175.5,493
176.0,605
176.5,449
177.0,646
177.5,580
178.0,714
178.5,569
179.0,739
179.5,597
180.0,829
180.5,674
181.0,787
181.5,647
182.0,781
182.5,609
183.0,730
183.5,612
184.0,718
184.5,630
185.0,751
185.5,609
186.0,713
186.5,623
187.0,795
187.5,580
188.0,818
188.5,601
189.0,881
189.5,640
190.0,1006
190.5,736
191.0,1090
191.5,820
192.0,1267
192.5,906
193.0,1320
193.5,954
194.0,1257
194.5,989
195.0,1208
195.5,941
196.0,1176
196.5,966
197.0,1159
197.5,922
198.0,1170
198.5,998
199.0,1055
199.5,890
200.0,997
200.5,885
201.0,996
201.5,842
202.0,1032
202.5,903
203.0,969
203.5,842
204.0,996
204.5,881
205.0,3371
205.5,1090
206.0,1589
206.5,1126
207.0,1616
207.5,1183
208.0,1522
208.5,1217
209.0,1584
209.5,1209
210.0,1551
210.3,1
210.5,1319
211.0,1646
211.5,1304
212.0,1627
212.5,1358
213.0,1545
213.5,1376
213.7,1
214.0,1652
214.5,1346
215.0,1710
215.5,1334
216.0,1603
216.5,1423
217.0,1673
217.5,1398
218.0,1722
218.5,1438
219.0,1773
219.5,1520
220.0,1723
220.5,1509
221.0,1704
221.5,1564
222.0,1737
222.5,1475
223.0,1708
223.5,1637
224.0,1750
224.5,1589
225.0,1725
225.5,1588
226.0,1766
226.5,1693
227.0,1769
227.5,1642
228.0,1725
228.5,1651
229.0,1891
229.5,1654
230.0,1832
230.5,1661
231.0,1877
231.3,1
231.5,1691
232.0,1773
232.5,1802
233.0,1791
233.5,1794
234.0,1811
234.5,1733
235.0,1922
235.5,1780
236.0,1898
236.5,1832
237.0,1890
237.5,1811
238.0,1871
238.5,1794
239.0,1865
239.5,1764
240.0,1934
240.5,1853
241.0,2096
241.5,1943
242.0,1978
242.5,1879
243.0,2005
243.5,1942
244.0,2021
244.5,1953
245.0,1953
245.5,1907
246.0,1933
246.5,1938
247.0,1994
247.5,1988
248.0,2087
248.5,2019
249.0,2149
249.5,1964
250.0,2043
250.5,1989
251.0,2070
251.5,1942
252.0,2108
252.5,1994
253.0,2038
253.5,1956
254.0,2187
254.5,1987
255.0,2051
255.5,2078
256.0,2074
256.5,2086
257.0,2101
257.5,2096
258.0,2168
258.5,2050
259.0,2164
259.5,2132
259.8,1
260.0,2088
260.5,2098
261.0,2217
261.5,2212
262.0,2102
262.5,2106
262.6,1
263.0,2064
263.5,2133
264.0,2235
264.5,2145
265.0,2199
265.5,2101
266.0,2273
266.5,2098
267.0,2174
267.5,2168
268.0,2199
268.5,2115
269.0,2152
269.5,2138
270.0,2163
270.5,2143
271.0,2256
271.5,2073
272.0,2230
272.5,2275
273.0,2209
273.5,2118
274.0,2196
274.5,2198
275.0,2271
275.5,2178
276.0,2159
276.5,2143
277.0,2192
277.5,2288
278.0,2219
278.5,2155
279.0,2236
279.5,2208
280.0,2222
280.5,2234
281.0,2175
281.5,2112
282.0,2156
282.5,2191
283.0,2205
283.5,2234
284.0,2237
284.5,2196
285.0,2213
285.5,2255
286.0,2257
286.5,2199
287.0,2180
287.5,2194
288.0,2197
288.5,2156
289.0,2267
289.5,2093
290.0,2222
290.5,2188
290.8,1
291.0,2133
291.5,2092
292.0,2230
292.5,2207
293.0,2058
293.5,2109
294.0,2189
294.5,2097
295.0,2171
295.5,2130
296.0,2172
296.5,2133
297.0,2157
297.5,2156
298.0,2127
298.5,2124
299.0,2130
299.5,2076
300.0,2088
300.5,2058
301.0,2141
301.5,2067
302.0,2091
302.5,2125
303.0,2095
303.5,2010
304.0,2107
304.5,2079
305.0,2132
305.5,2054
306.0,2067
306.5,2036
307.0,2172
307.5,2012
308.0,2011
308.5,2034
309.0,2042
309.5,2110
309.6,1
310.0,2058
310.5,2105
311.0,2014
311.5,2035
312.0,2034
312.5,1983
313.0,1998
313.5,2094
314.0,2016
314.5,2065
315.0,2005
315.5,2021
316.0,2045
316.5,1936
317.0,1944
317.5,1949
318.0,1934
318.5,1976
319.0,1976
319.5,2000
320.0,1968
320.5,1941
321.0,1931
321.5,1935
322.0,1937
322.5,1878
323.0,1847
323.5,1920
324.0,1883
324.5,1909
325.0,1952
325.5,1832
326.0,1919
326.5,1811
327.0,1875
327.5,1886
328.0,1879
328.5,1845
329.0,1834
329.5,1783
330.0,1902
330.5,1843
331.0,1867
331.5,1875
332.0,1798
332.5,1760
333.0,1806
333.5,1729
334.0,1862
334.5,1763
335.0,1847
335.5,1813
336.0,1762
336.5,1741
337.0,1739
337.5,1745
338.0,1768
338.5,1710
339.0,1711
339.5,1716
340.0,1711
340.5,1682
341.0,1738
341.5,1594
342.0,1659
342.5,1685
343.0,1567
343.5,1584
344.0,1672
344.5,1602
345.0,1611
345.5,1593
346.0,1569
346.5,1646
347.0,1567
347.5,1492
348.0,1565
348.5,1568
349.0,1556
349.5,1524
349.7,1
350.0,1579
350.5,1537
351.0,1578
351.5,1485
352.0,1529
352.5,1476
353.0,1536
353.5,1463
353.9,1
354.0,1538
354.5,1432
355.0,1429
355.5,1511
356.0,1402
356.5,1443
357.0,1432
357.5,1348
358.0,1365
358.5,1341
359.0,1446
359.5,1388
360.0,1340
360.5,1355
361.0,1300
361.5,1255
362.0,1306
362.5,1294
363.0,1228
363.5,1295
364.0,1321
364.5,1194
365.0,1254
365.1,1
365.5,1179
366.0,1258
366.5,1192
367.0,1185
367.2,1
367.5,1195
368.0,1249
368.5,1158
369.0,1222
369.5,1156
370.0,1115
370.5,1130
371.0,1170
371.5,1068
372.0,1116
372.2,1
372.5,1130
373.0,1060
373.5,1046
374.0,987
374.5,961
375.0,968
375.5,988
376.0,958
376.5,934
377.0,870
377.5,911
378.0,870
378.5,887
379.0,800
379.5,851
380.0,792
380.5,740
381.0,721
381.5,712
382.0,680
382.5,690
383.0,655
383.5,659
384.0,554
384.5,584
385.0,557
385.5,531
386.0,471
386.5,488
387.0,448
387.5,456
388.0,421
388.5,392
389.0,404
389.5,346
390.0,339
390.5,306
391.0,283
391.5,291
392.0,250
392.5,256
393.0,219
393.5,225
394.0,190
394.5,167
395.0,159
395.5,155
396.0,132
396.5,124
397.0,86
397.5,78
398.0,62
398.5,72
399.0,36
399.3,1
399.5,44
400.0,29
400.5,23
401.0,18
401.5,18
402.0,14
402.3,1
402.5,7
403.0,4
403.5,5
404.0,1
404.5,2
405.0,4
405.5,1
407.0,1
408.0,1
429.2,1
436.1,1
445.9,1
452.4,1
453.2,1
454.1,1
456.4,1
456.6,1
457.7,1
460.4,1
460.5,1
463.7,1
466.3,1
467.5,1
471.0,1
472.0,1
472.1,1
472.4,1
472.6,1
474.8,1
477.0,1
477.2,2
477.8,1
477.9,1
478.7,1
478.9,1
479.5,1
482.6,1
482.9,1
484.6,1
484.8,1
485.2,1
486.5,1
486.8,1
487.2,1
487.6,1
487.9,1
489.0,1
489.3,1
489.4,2
490.1,1
490.5,1
490.7,1
490.8,1
491.1,1
491.2,1
491.3,1
491.8,1
492.1,1
493.2,1
494.9,1
495.1,1
495.4,1
495.6,1
496.4,1
496.5,1
496.6,1
496.9,1
497.4,1
497.5,1
497.6,1
498.2,1
498.6,1
499.0,1
499.1,1
499.4,1
499.6,1
499.7,1
500.1,1
500.9,1
501.2,1
501.3,2
501.4,1
501.5,1
501.6,1
502.1,2
502.6,2
503.0,1
503.6,1
503.8,1
504.0,1
504.5,1
504.6,1
504.7,1
504.8,1
505.0,1
505.3,1
505.4,1
505.9,1
506.1,1
506.4,1
506.5,1
506.8,1
507.6,1
507.9,1
508.4,1
508.5,2
508.7,1
508.8,2
509.1,1
509.2,1
509.8,1
510.0,1
510.2,1
510.5,1
510.6,1
511.3,1
511.7,1
511.9,1
512.8,1
513.0,1
513.6,1
513.7,1
513.8,1
514.1,1
514.2,1
514.5,1
514.7,1
515.0,1
515.2,1
515.3,1
515.7,1
516.2,2
516.4,1
516.5,1
516.6,1
517.1,2
517.2,1
517.3,1
517.4,1
517.5,2
517.6,2
517.7,1
517.8,1
518.0,1
518.3,1
518.4,1
518.9,2
519.0,1
519.1,1
519.5,1
519.6,3
519.9,1
520.1,1
520.2,1
520.3,1
520.6,1
521.5,1
521.7,1
521.9,1
522.1,1
522.3,1
522.4,1
522.8,1
523.1,1
523.6,1
523.7,1
524.3,1
525.3,1
525.4,2
525.8,1
526.1,2
526.3,1
526.5,1
527.1,1
527.2,1
527.3,1
527.4,2
527.5,3
527.6,1
527.7,3
528.0,2
528.5,2
528.7,2
529.1,2
529.5,1
529.7,1
530.0,1
530.1,1
530.2,1
530.7,2
530.8,1
530.9,1
531.1,1
531.2,2
531.3,2
531.5,1
531.8,2
532.0,1
532.6,2
532.8,1
533.0,1
533.3,1
533.4,1
533.5,1
533.7,1
533.8,1
533.9,1
534.1,1
534.2,1
534.3,2
534.4,1
534.6,1
534.8,1
534.9,1
535.1,1
535.2,1
535.3,1
535.4,1
535.7,1
535.8,1
535.9,1
536.0,2
536.3,1
536.4,1
536.7,2
536.8,1
537.4,2
537.5,1
537.7,1
537.8,1
537.9,1
538.0,3
538.3,1
538.5,2
538.6,1
538.8,2
538.9,1
539.2,1
539.3,1
539.5,2
539.7,3
539.8,1
540.0,1
540.2,1
540.5,2
540.6,1
540.8,1
540.9,2
541.0,1
541.1,1
541.3,3
541.5,2
541.7,1
541.8,1
542.1,1
542.4,1
542.5,1
542.7,1
542.8,2
543.2,1
543.3,1
543.5,1
543.6,3
543.7,1
543.8,3
543.9,1
544.1,2
544.2,1
544.4,1
544.5,2
544.8,2
544.9,1
545.0,1
545.1,2
545.3,1
545.5,2
545.6,1
545.7,1
545.8,2
546.0,1
546.6,1
546.9,1
547.0,1
547.1,1
547.2,1
547.3,1
547.4,1
547.5,1
547.6,1
547.7,1
548.0,1
548.1,1
548.2,1
548.3,1
548.6,2
548.7,1
548.9,1
549.1,1
549.3,3
549.4,4
549.5,1
549.6,1
549.7,1
550.0,1
550.2,1
550.3,1
550.6,2
550.7,1
550.8,1
550.9,2
551.0,2
551.1,1
551.3,2
551.5,5
551.7,1
551.8,1
552.0,2
552.1,1
552.2,2
552.3,2
552.5,3
552.8,2
552.9,1
553.0,1
553.1,1
553.3,1
553.4,1
553.5,4
553.7,2
553.8,3
554.1,1
554.2,2
554.3,4
554.4,2
554.5,1
554.7,1
555.0,1
555.3,2
555.4,1
555.5,2
555.6,1
555.7,3
556.0,2
556.2,2
556.4,2
556.5,2
556.7,2
556.8,1
556.9,1
557.0,3
557.2,1
557.3,1
557.4,2
557.5,2
557.6,1
557.8,1
557.9,1
558.0,1
558.1,1
558.7,1
558.8,2
559.1,1
559.2,3
559.3,1
559.5,1
559.7,1
559.9,1
560.0,1
560.2,1
560.3,1
560.4,1
560.5,1
560.7,1
560.8,1
560.9,2
561.0,1
561.4,1
561.6,1
561.8,2
562.0,1
562.1,3
562.3,1
562.4,2
562.6,1
562.7,2
562.8,1
562.9,2
563.1,1
563.2,2
563.3,1
563.4,1
563.5,2
563.6,1
563.7,1
563.8,1
563.9,1
564.0,5
564.2,2
564.4,2
564.6,3
564.7,1
564.8,1
564.9,1
565.0,1
565.1,1
565.2,1
565.4,1
565.5,1
565.7,1
565.8,2
565.9,1
566.0,1
566.1,3
566.2,4
566.3,2
566.4,1
566.5,2
566.6,1
566.7,2
566.8,1
567.1,1
567.3,1
567.4,1
567.8,4
568.0,2
568.1,1
568.2,1
568.4,2
568.5,3
568.6,1
568.7,3
568.8,1
568.9,5
569.1,2
569.3,1
569.4,1
569.5,6
569.6,1
569.7,1
569.8,1
569.9,1
570.0,3
570.1,2
570.3,2
570.4,2
570.5,2
570.6,1
570.7,2
570.8,1
570.9,1
571.0,2
571.2,2
571.3,1
571.4,2
571.5,1
571.6,1
571.7,1
571.9,2
572.0,1
572.1,1
572.3,1
572.5,1
572.7,2
572.9,1
573.0,2
573.1,2
573.2,2
573.5,1
573.7,1
573.8,2
573.9,1
574.2,2
574.3,2
574.4,1
574.5,2
574.8,2
574.9,1
575.1,3
575.2,3
575.3,3
575.5,2
575.6,1
575.8,1
575.9,1
576.0,2
576.1,1
576.2,1
576.3,2
576.4,1
576.7,2
576.8,3
576.9,1
577.0,3
577.2,1
577.4,2
577.5,1
577.6,1
577.7,4
578.0,1
578.1,1
578.2,1
578.3,4
578.4,3
578.5,1
578.6,1
578.7,3
578.8,1
579.0,1
579.1,1
579.2,3
579.3,2
579.5,2
579.6,1
579.7,3
579.9,1
580.0,1
580.3,1
580.4,2
580.5,3
580.7,3
580.8,3
580.9,1
581.0,1
581.2,1
581.3,1
581.4,1
581.5,1
581.6,1
581.7,2
581.9,2
582.0,6
582.2,1
582.3,1
582.5,1
582.7,2
582.9,1
583.0,2
583.1,2
583.2,1
583.3,1
583.4,3
583.6,1
583.8,2
584.1,5
584.2,1
584.3,4
584.4,3
584.5,2
584.8,4
584.9,4
585.0,1
585.2,2
585.3,3
585.4,1
585.5,1
585.6,1
585.7,1
585.8,3
585.9,2
586.2,2
586.4,3
586.5,3
586.7,2
586.8,4
586.9,1
587.0,1
587.1,3
587.2,2
587.3,2
587.4,1
587.5,1
587.6,2
587.7,1
587.8,3
587.9,1
588.0,2
588.1,2
588.2,4
588.3,5
588.4,2
588.5,2
588.6,2
588.7,3
588.8,3
588.9,1
589.1,2
589.2,2
589.3,3
589.4,1
589.5,2
589.6,3
589.7,1
589.8,2
589.9,1
590.0,1
590.1,1
590.2,1
590.3,1
590.4,3
590.7,2
590.8,1
591.0,2
591.1,1
591.2,1
591.3,5
591.4,3
591.5,1
591.7,1
591.8,2
591.9,3
592.0,2
592.2,1
592.4,1
592.6,2
593.0,1
593.2,3
593.3,1
593.4,2
593.5,2
593.6,1
593.7,1
593.8,2
594.0,1
594.1,1
594.2,2
594.3,3
594.5,4
594.6,4
594.7,3
594.8,4
594.9,2
595.0,2
595.1,2
595.3,2
595.5,2
595.6,1
595.7,1
595.8,2
596.0,1
596.1,2
596.2,3
596.4,2
596.5,1
596.7,2
597.0,1
597.1,1
597.3,3
597.4,2
597.5,2
597.6,2
597.7,1
597.8,1
597.9,1
598.0,2
598.2,1
598.5,1
598.6,2
598.7,1
598.8,3
598.9,2
599.0,1
599.1,2
599.2,4
599.3,1
599.5,1
599.6,2
599.7,2
599.8,1
599.9,2
600.0,1
600.3,2
600.4,3
600.5,3
600.6,2
600.7,2
600.8,1
600.9,1
601.0,4
601.2,1
601.3,1
601.6,1
601.7,2
601.8,1
602.0,2
602.1,1
602.2,2
602.3,5
602.4,2
602.7,3
602.8,2
602.9,1
603.0,2
603.1,2
603.2,2
603.3,1
603.5,1
603.6,3
603.7,1
603.8,1
604.0,4
604.1,1
604.2,3
604.3,2
604.4,2
604.5,1
604.7,1
604.8,2
605.0,1
605.1,1
605.2,5
605.3,3
605.4,3
605.5,1
605.6,1
605.7,2
605.8,1
605.9,1
606.2,1
606.3,1
606.4,1
606.6,2
606.8,2
606.9,2
607.0,4
607.1,4
607.3,1
607.4,3
607.5,3
607.6,2
607.7,1
607.8,2
607.9,1
608.0,2
608.2,1
608.3,1
608.5,2
608.6,1
608.7,1
608.8,1
608.9,2
609.0,1
609.1,1
609.3,2
609.5,1
609.6,1
609.7,2
609.8,2
609.9,2
610.0,2
610.1,1
610.2,2
610.3,4
610.4,2
610.5,3
610.6,1
610.7,3
610.8,2
611.1,3
611.3,2
611.5,1
611.6,2
611.7,1
611.8,1
612.0,3
612.1,2
612.2,1
612.3,2
612.4,3
612.6,2
612.7,2
613.0,2
613.1,2
613.2,5
613.3,1
613.4,2
613.5,2
613.6,2
613.7,2
613.8,4
613.9,2
614.1,4
614.2,3
614.3,1
614.4,3
614.6,2
614.8,1
614.9,3
615.3,2
615.4,2
615.5,2
615.6,3
615.7,4
615.8,1
616.0,1
616.1,4
616.2,3
616.3,1
616.4,1
616.5,2
616.6,1
616.7,1
616.8,1
616.9,1
617.0,2
617.1,1
617.2,2
617.3,1
617.4,1
617.5,2
617.6,2
617.7,4
617.8,2
617.9,2
618.0,1
618.2,2
618.4,2
618.5,2
618.7,1
618.8,1
618.9,2
619.1,1
619.3,2
619.4,1
619.5,3
619.6,1
619.7,3
619.8,2
620.0,2
620.1,2
620.2,1
620.3,1
620.4,1
620.6,1
620.7,2
620.8,5
620.9,2
621.2,3
621.5,1
621.6,2
621.7,1
621.8,1
621.9,1
622.0,1
622.1,1
622.2,2
622.3,1
622.4,2
622.5,1
622.6,1
622.7,3
622.8,1
623.1,1
623.2,2
623.4,2
623.5,1
623.6,1
623.7,2
623.8,3
623.9,2
624.0,3
624.3,1
624.4,1
624.5,2
624.7,2
624.8,1
624.9,1
625.0,4
625.1,2
625.2,4
625.3,1
625.4,2
625.5,2
625.6,1
625.7,3
625.9,2
626.0,2
626.1,3
626.2,1
626.3,2
626.5,1
626.6,2
626.8,1
626.9,4
627.3,2
627.5,1
627.7,2
627.8,3
628.0,1
628.1,1
628.3,2
628.4,1
628.5,1
628.6,2
628.7,2
628.9,1
629.0,1
629.1,1
629.2,3
629.3,1
629.4,2
629.6,2
629.7,2
629.8,2
629.9,1
630.0,1
630.1,1
630.2,2
630.3,2
630.4,1
630.5,2
630.6,2
630.7,2
630.8,2
630.9,2
631.0,1
631.2,1
631.3,1
631.4,1
631.5,2
631.7,2
631.9,2
632.0,2
632.1,2
632.4,1
632.7,1
633.2,2
633.3,1
633.6,1
633.7,1
633.8,3
633.9,1
634.0,1
634.2,2
634.6,3
634.7,1
634.8,1
635.0,1
635.1,1
635.2,1
635.3,1
635.5,1
635.6,1
635.7,2
635.8,1
635.9,1
636.0,3
636.2,2
636.4,2
636.6,2
636.8,6
637.3,1
637.8,1
638.2,2
638.5,1
638.6,1
638.8,1
639.1,1
639.3,1
639.5,2
640.0,1
640.1,2
640.2,2
640.3,1
640.5,2
640.7,1
640.8,3
640.9,1
641.3,1
641.4,1
641.7,1
641.8,1
641.9,1
642.0,1
642.1,1
642.2,3
642.3,2
642.4,1
642.5,1
643.0,1
643.1,1
643.4,2
643.6,1
643.9,1
644.3,1
644.6,1
644.8,1
645.1,1
645.4,1
645.7,1
646.2,2
646.5,1
646.6,2
647.0,1
647.2,2
647.9,1
648.0,1
648.2,1
648.3,1
648.7,1
648.8,1
648.9,2
649.0,1
649.2,1
649.3,1
650.0,3
650.1,1
650.3,1
651.1,1
651.5,1
652.0,2
652.6,1
652.8,1
653.0,1
653.3,1
654.1,1
654.3,1
655.2,2
655.6,1
655.7,1
655.8,1
656.4,1
656.5,1
657.0,1
657.6,2
657.9,1
658.1,1
658.5,1
658.7,1
658.9,1
659.0,1
659.5,1
659.9,1
660.1,1
660.4,1
661.9,1
662.1,1
662.5,1
663.1,1
663.7,1
666.6,1
666.9,1
667.0,1
671.9,1
